forum,thread,threadLink,views,threadPosts,postNumber,screenname,post
eco-as-education,Lesson plans | ECO Forum,https://ecoforum.strangeloopgames.com/topic/2692/lesson-plans,1182,2,1,paulf,"Has anyone got far enough with Eco to try it out in a class and draw up a lesson plan? If there are, would you mind sharing? It would be very useful for educators to have some lesson plans. I'd be glad to share mine with others as a common resource. Thank you PaulF"
eco-as-education,Lesson plans | ECO Forum,https://ecoforum.strangeloopgames.com/topic/2692/lesson-plans,1182,2,2,mrl,"Good Point Paul.  I am an educator and really want to use Eco but can not see how this would work given my limited amount of the time with the students. 15-18hrs total. The game appears to move too slow to get to a stage where you can actually make a robust educational experience. In Minecraft I can set the stage in advance, how can we make this game work for classrooms? Is there a way to compress the time it takes to get functioning economies up and running etc. From what videos I have watched online, students would spend hours just building the foundation of the society through chopping and mining rocks.  Mini missions, or scenarios where students can drop in to a world already in certain levels of development perhaps?"
eco-as-education,How important is  essay writing service for academic writings ? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/3896/how-important-is-essay-writing-service-for-academic-writings,452,1,1,Jeffery Vladez,"Essay Services are widespread on the web. These services offers help to those who struggling with studies, those who are lacking time, or those who struggle with their grades. Using custom writing services are immense for foreign students. Time is very essential thing in all academic tasks. But, looking for the best essay writing service online is a quit challenge for students. Because sometimes some essay writing service provides with low quality works or ignores the deadline you set for them .For avoiding stress and scoring best marks in your academic writing task, choose best custom essay writing services. When there's so many to choose from, you can choose the one who'll deliver the best quality work. Choosing custom essay writing service online is best for students. When you’re looking for an essay that will really surprise your professors, this service is the best one to use. The service values all their clients, and thus their company guarantees that your paper will be done by a professional in the given time."
eco-as-education,Why buying essay from online is one of the most familiar thing for all students. | ECO Forum,https://ecoforum.strangeloopgames.com/topic/3871/why-buying-essay-from-online-is-one-of-the-most-familiar-thing-for-all-students,457,1,1,JameyStenson,All students want rich content of essay in cheap rate. The essay writing service will provide a qualified content to the students with the help of essay writing experts. In custom essay service the quality essay written by trained writers from essay writing experts. That’s why all students were interest to login websites. They automatically look forward to expert’s essay. So all students can get a good quality essay paper from essay writing service in their expected cost. So that’s why buying essay from online is one of the most familiar thing for all students.
eco-as-education,Are you collaborating with ecologists to develop the game? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/2965/are-you-collaborating-with-ecologists-to-develop-the-game,995,1,1,Piercil,"Hi,
I'm a Biology Italian student and I'm thinking to write my dissertation about ecosystems in videogames. So, I would like to talk to you about your scientific collaboration to develop Eco :)"
eco-as-education,my club | ECO Forum,https://ecoforum.strangeloopgames.com/topic/2912/my-club,706,1,1,queenmun123,"I work in a middle school and was looking at the many benefits that this game could provide in a school setting. I do not teach in a classroom, but help with after-school clubs. This game could definitely be something I would use to incorporate parts of all students' core classes into one fun setting. Having just found out about this today, I noticed that the kickstarter was over and that when you ""buy"" the game, you cannot buy a classroom set (like on the $500 donor level). Will there be an option later to buy this game as a classroom set or would I need to buy the accounts separately and set them up for students? Also, since this game would be used in a club, and the number of students can change on any day (usually anywhere from 5-25 students), if I got a ""classroom set"" would I get a set number of passes to give out as students come, or would I only get access for students that were in the club when I ordered? Finally, if a student moved or left the group, would I have access to ""take back"" the account from the student, clear the account (or transfer everything to myself or ""the public""), and give it to another student that attends the club? If there are any other educators out there looking to incorporate this game into their class or an after-school program, I would love to hear how you are planning on doing so. I have a few ideas already and would love to collaborate on making a fun, creative, and thought-provoking game like this as beneficial to students as possible. Thank you so much!"
eco-as-education,Systems thinking | ECO Forum,https://ecoforum.strangeloopgames.com/topic/2693/systems-thinking,883,1,1,paulf,Is Eco built around systems thinking? Have the designers got a systems map? This would be incredibly useful as I'd like to use Eco in my environmental systems thinking class in university. Thank you PaulF
eco-as-education,Implementing Writing Skills | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1302/implementing-writing-skills,1374,2,1,ArtisL,"Hey all I foresee setting project work for pupils that involves writing elements of lore for the game. This is just an example for how we can implement writing into the game. For example a pupil may write something about their character (e.g back story).  This then could be transferred to the game and gives pupils relevance to producing a written piece of work. To further this we could have a skill/research for a scholar (or better name) who is than ingame character.  They would be responsible for many aspects of story within the game environment. Just my ideas
ArtisL"
eco-as-education,Implementing Writing Skills | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1302/implementing-writing-skills,1374,2,2,rentechd,"Actually my daughter's teacher has been playing with Eco and is working on a grant to get it for her classroom.  One thing that she has come up with for writing was creating worksheets and a 'classroom' book.  One thing she has been trying to get away from was tools that had kids write into a computer as they have many of them and while it re-enforces things like spelling, grammer, sentence structure, etc her classroom has less and less chance to 'write' but does a lot of typing.  Her age group is such that they still need to use handwriting and while they are becoming good typists with all the computer programs they use less and less are lessons being given that a child is using a pencil and paper and this is an important developmental step as well as educational.  She has planned something much like you have here but that the ""character back story"" gets written by the student and goes into a notebook in the classroom.  Then as they work on ""world lore"" they all share in the job of recording that lore on paper and develop the story into chapters that are added to the book so they have a journal associated with their world. She makes a good point here that this also allows the teacher to structure the writing assignments around the level of the student; and to structure the required content accordingly too.  For example, if the game has places to type in back story and world lore and a world journal, the kids would see the direct connect but if a teacher came up with other writing activities and there were not specific places for those activities that kids would tend to find them less important.  Apparently, this has been an issue before as kids have eagerly produced things a game has asked from them and they could enter but when asked by the teacher to do an assignment that was not 'entered' into the game it was greeted by the kids as not being important.  So, if the game is not asking the student to enter this writing into the game then no writing - either what the game asks or the teacher comes up with - is more important then the other.  And it would also leave it up to the teacher as to whether the writing would be handwritten or typed."
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,1,scvant,"As some background I am a science teacher teaching in England, with pupil ages of 11-16. I think this game is awesome and has huge educational potential. At the moment I am noticing that my pupils are having difficulty with graph drawing and reading which this game has in spades so these are a bit graph obsessed. Some possible things to change to help it in an educational setting Also I have no background in computer science so I am unaware if these are absolutely ridiculous requests, so if they are I apologise, also I don't know if these have been brought up before, do you guys have a road map / things your working on? I know there is the github, but is there any other form of large changes that are in the works? Again love your game and think it is turning out really well!"
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,2,ChronosWS,"On the first item, that sounds like a great mod for a server - either to set ""active hours"", or to set limits on play time."
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,3,JohnK,"Excellent feedback, I will make a note to add these when we have time.
Graphs we definitely want as a center of the game, you use them to make sense of the world. We also have heat maps just added, have you had a look at those? Curious your thoughts."
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,4,scvant,"Not sure why but heat maps don't work on my PC but I pulled it up on my gf's pc and they are awesome only thing both me and her said was if you can get the line graph to create at the same time as the eat map so you can see on the globe when you get a spike where it is that would improve it loads, it will mean kids will be able to go oh so and so put down a pump jack and polluted everything. (also I tried it on firefox and edge and could get it to load but it wouldn't change overtime, I will try updating stuff and see if I can get it working). Data logging is required under the national curriculum in England so having this which not only records data but produces that heat map as well is amazing. It is worth noting that this is normally highly expensive and most schools spend fortunes on data loggers they don't use very often. I think it is defiantly worth highlighting these features as much as possible as this is a way you can sell it to certain more classical teachers who would see this as just a game and not for what it truly is, if you show them that it is a fun and superior method of doing this you could have a really good market there. I really enjoyed those heat maps and I think you just sold the game to my gf because of it as well so I am presuming she does too . :)"
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,5,scvant,"I fixed it I had apparently turned off hardware acceleration on chrome at some point, so now it works."
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,6,tong007x,
eco-as-education,Some possible ideas | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1366/some-possible-ideas,2963,7,7,Atom007008,
eco-as-education,Implementing Mathematics | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1301/implementing-mathematics,1856,3,1,ArtisL,"Hey all I just want to share some ideas regarding how Eco could aid pupils understanding of maths.  Pupils often ask a relevant question. ""When will I ever use Maths?"" It is difficult to give real examples sometimes.  This is were Eco could make a real difference. For example allowing a player to carry out a investigation (environmental report) of a species could give information that can be later calculated. For instance a playe could estimate probably time of extinction.  I'm guessing this is something the charts would cover but making it an action a player does would make it more subversive. Just an idea of how this game could make a huge difference. ArtisL"
eco-as-education,Implementing Mathematics | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1301/implementing-mathematics,1856,3,2,Ixidon,"@ArtisL said: I've been already making various calculations about the local, in-game market and how value in items change throughout the server evolution (forces of supply/demand, value of skill gaining per phase, etc) and how inflation affects the market etc. And this is before I even started to look at other stuff, such as pollution change etc, which as insignificant right now (due to limited number of players, thus little impact to the ecosystem). So yeah, I agree that the game can put you into a place where you'll want to use maths / stat analysis in general."
eco-as-education,Implementing Mathematics | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1301/implementing-mathematics,1856,3,3,ArtisL,"Oh that is great news. I hope we can analysis the data in different ways and levels of complexity.  It would be amazing if this is accessible to all pupils understanding, levels and needs."
eco-as-education,After-school Club | ECO Forum,https://ecoforum.strangeloopgames.com/topic/74/after-school-club,2945,3,1,Guest,"I work in a middle school and was looking at the many benefits that this game could provide in a school setting. I do not teach in a classroom, but help with after-school clubs. This game could definitely be something I would use to incorporate parts of all students' core classes into one fun setting. Having just found out about this today, I noticed that the kickstarter was over and that when you ""buy"" the game, you cannot buy a classroom set (like on the $500 donor level). Will there be an option later to buy this game as a classroom set or would I need to buy the accounts separately and set them up for students? Also, since this game would be used in a club, and the number of students can change on any day (usually anywhere from 5-25 students), if I got a ""classroom set"" would I get a set number of passes to give out as students come, or would I only get access for students that were in the club when I ordered? Finally, if a student moved or left the group, would I have access to ""take back"" the account from the student, clear the account (or transfer everything to myself or ""the public""), and give it to another student that attends the club? If there are any other educators out there looking to incorporate this game into their class or an after-school program, I would love to hear how you are planning on doing so. I have a few ideas already and would love to collaborate on making a fun, creative, and thought-provoking game like this as beneficial to students as possible. Thanks!"
eco-as-education,After-school Club | ECO Forum,https://ecoforum.strangeloopgames.com/topic/74/after-school-club,2945,3,2,JohnK,"Guest said: Great to hear you're interested in trying out the game in an educational setting, we're definitely making that one of our focuses for development. The way it works now is with $500 you get access to up to 100 keys per year for 5 years, and students get their copies permanently. Early backers at this tier will be able to have the students involved in development if they like, and get their name in the credits. We'll be turning the school tier back on shortly and youll be able to back that if you want. Feel free to email me with more questions too: john@strangeloopgames.com"
eco-as-education,After-school Club | ECO Forum,https://ecoforum.strangeloopgames.com/topic/74/after-school-club,2945,3,3,weather.is.evil,Your post is stimyingly befreft of details itself.
eco-as-education,Australian Curriculum Integration | ECO Forum,https://ecoforum.strangeloopgames.com/topic/267/australian-curriculum-integration,2217,3,1,MrCoumbe,"Hello all, I'm a science teacher from Churchlands Senior High School and I wanted to see if there were any Australian teachers here that would like to collaborate with me to design a sever where the world is already polluted. In this world, the students need to enter and try to reverse the effects. Ideas are very much welcome. Mr Coumbe"
eco-as-education,Australian Curriculum Integration | ECO Forum,https://ecoforum.strangeloopgames.com/topic/267/australian-curriculum-integration,2217,3,2,BenjaminDSmithy,"Hi @MrCoumbe,
I stumbled across this video of Eco that while rather dated should provide you with some insight into Strange Loop Games future roadmap for Eco and thus a starting point for discussion: Eco - Online Ecosystem Simulation Game YouTube Video"
eco-as-education,Australian Curriculum Integration | ECO Forum,https://ecoforum.strangeloopgames.com/topic/267/australian-curriculum-integration,2217,3,3,Alastair Leith,"@MrCoumbe said: Hi Mr Coumbe I'm interested in developing Edu scenarios for 100% RE rapid transition away from FF consumption (and animal agriculture which are 50% of Australian GHG emissions using 20 year GWP accounting bze.org.au/landuse — but that might have to come next after 100% RE). Currently I'm living in Perth but talking to east coast people about this too. Seems like a great way to introduce RE curriculum of the Cool Schools kind. Might give you a call this week to discuss, are you available if I call the school switchboard? I've been following Eco since the Indiegogo launch but only just bought licences to get involved. John K tells me at least one other person in a USA university is interested in 100% RE scenarios. Maybe Eco won't end up the vehicle for this, I was thinking something more like SimCity for a few years, but it's by miles closer than anything I've come across that is open to devs if not fully Open Source (fingers crossed one day for edu it's free given that USA DoE dropped $1m on it!). Best
Alastair"
eco-as-education,ECO youtube channel for training students to become future devs? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/82/eco-youtube-channel-for-training-students-to-become-future-devs,2276,3,1,NaturesAdvocate,"I would like to see a youtube channel that not only advertises new features and content surrounding the game but also some tutorials for modding,using the wiki,forums and possibly offer some insights for students that want to become devs. Maybe you suggest a website to learn PHP and or other programming resources that would help students to build the game."
eco-as-education,ECO youtube channel for training students to become future devs? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/82/eco-youtube-channel-for-training-students-to-become-future-devs,2276,3,2,NoBlackThunder,"Hey.
I cant officially reply to this. but on a personal view, i think there will be several video and articles that will be user created and and maybe some more from the official developers.
They already released a simple overview on how the modkit will work. Ref: http://www.strangeloopgames.com/how-mods-work-in-eco/
There is also a good website out to help with learning any web language like php. Ref : http://www.w3schools.com/php/ I hope that helps for a start."
